ID,Timestamp,Problem,Lang,Verdict,Time,Memory,Rank:7765
20129009,2016-08-24 21:06:07,709C - Letters Cyclic Shift,GNU C++11,Accepted,31 ms,2400 KB
20125297,2016-08-24 20:41:39,709C - Letters Cyclic Shift,GNU C++11,Wrong answer on pretest 1,0 ms,2000 KB
20121796,2016-08-24 20:22:28,709B - Checkpoints,GNU C++11,Accepted,218 ms,2800 KB
20111356,2016-08-24 19:42:22,709A - Juicer,GNU C++11,Accepted,233 ms,2800 KB
19423916,2016-07-26 16:51:03,701C - They Are Everywhere,GNU C++11,Wrong answer on test 10,30 ms,0 KB
19423793,2016-07-26 16:43:41,701B - Cells Not Under Attack,GNU C++11,Accepted,420 ms,2100 KB
19423245,2016-07-26 16:10:29,701B - Cells Not Under Attack,GNU C++11,Wrong answer on test 3,15 ms,200 KB
19423168,2016-07-26 16:06:50,701B - Cells Not Under Attack,GNU C++11,Wrong answer on test 3,15 ms,200 KB
19423065,2016-07-26 16:01:37,701C - They Are Everywhere,GNU C++11,Wrong answer on test 10,15 ms,0 KB
19423058,2016-07-26 16:01:08,701B - Cells Not Under Attack,GNU C++11,Wrong answer on test 3,15 ms,200 KB
19423048,2016-07-26 16:00:34,701A - Cards,GNU C++11,Accepted,15 ms,0 KB
19422979,2016-07-26 15:57:45,701C - They Are Everywhere,GNU C,Compilation error,0 ms,0 KB
19421617,2016-07-26 14:39:45,701B - Cells Not Under Attack,GNU C,Compilation error,0 ms,0 KB
19421092,2016-07-26 14:05:31,701A - Cards,GNU C,Compilation error,0 ms,0 KB
19421027,2016-07-26 14:00:57,701A - Cards,GNU C11,Compilation error,0 ms,0 KB
19421006,2016-07-26 13:59:27,701A - Cards,GNU C,Compilation error,0 ms,0 KB
